type,value,name,base,min,max,scale,comment
time,1005,trial_start,,,,,
time,1007,sac_on,,,,,
time,1010,fp_on,,,,,
time,1025,fp_off,,,,,
time,3000,mean_on,,,,,
time,3005,target_off,,,,,
time,3006,fdbk_on,,,,,
time,3116,fdbk_off,,,,,
time,4904,all_off,,,,,
time,4905,online_correct,,,,,
time,4906,online_error,,,,,
time,4907,online_ncerr,,,,,
time,4919,targ_acq,,,,,
time,4926,online_brfix,,,,,
value,8001,fp_x,7000,6000,8000,0.1,
value,8002,fp_y,7000,6000,8000,0.1,
value,8008,t1_x,7000,6000,8000,0.1,
value,8009,t1_y,7000,6000,8000,0.1,
value,8012,t2_x,7000,6000,8000,0.1,
value,8013,t2_y,7000,6000,8000,0.1,
id,8017,trial_id,7000,6000,8000,1,
value,8025,t1_lum,7000,6000,8000,0.1,
value,8026,t2_lum,7000,6000,8000,0.1,
value,8027,seed_base,7000,6000,8000,1,
id,8032,fp_lum,7000,6000,8000,0.1,
id,8033,task_id,7000,6000,8000,1,
value,8036,reward_len,7000,6000,8000,0.1
value,8048,prob_tp0,7000,6000,8000,0.001
value,8049,prob_tp1,7000,6000,8000,0.001
value,8050,prob_tp2,7000,6000,8000,0.001
value,8051,prob_tp3,7000,6000,8000,0.001
value,8052,prob_tp4,7000,6000,8000,0.001
value,8053,prob_tp5,7000,6000,8000,0.001
value,8054,prob_tp6,7000,6000,8000,0.001
value,8055,prob_tp7,7000,6000,8000,0.001
value,8056,prob_tp8,7000,6000,8000,0.001
value,8057,prob_tp9,7000,6000,8000,0.001
value,8058,prob_tpa,7000,6000,8000,0.001
value,8072,hazard,7000,6000,8000,0.001,
value,8078,noise,7000,6000,8000,0.1,
value,8080,sample_x,7000,6000,8000,0.1,
value,8081,sample_y,7000,6000,8000,0.1,
value,8082,sample_lum,7000,6000,8000,0.1,
